corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
대창,012800,유가증권시장,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 압연, 압출 및 연신제품 제조업","동 압연, 압출 및 연신제품 제조업"
대창단조,015230,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
대한방직,001070,유가증권시장,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,,
대한유화,006650,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
대한전선,001440,유가증권시장,제조업,전기장비 제조업,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업
대한제강,084010,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업",
대한제당,001790,유가증권시장,제조업,식료품 제조업,"곡물가공품, 전분 및 전분제품 제조업",,
대한제분,001130,유가증권시장,제조업,식료품 제조업,"곡물가공품, 전분 및 전분제품 제조업",,
대한화섬,003830,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,화학섬유 제조업,화학섬유 제조업,합성섬유 제조업
대현,016090,유가증권시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
대호에이엘,069460,유가증권시장,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 압연, 압출 및 연신제품 제조업","알루미늄 압연, 압출 및 연신제품 제조업"
덕성,004830,유가증권시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,1차 플라스틱제품 제조업,플라스틱 합성피혁 제조업
덴티움,145720,유가증권시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,치과용 기기 제조업
동국씨엠,460850,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",냉간 압연 및 압출 제품 제조업
동국제강,460860,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,,
동남합성,023450,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
동방아그로,007590,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업",살균ㆍ살충제 및 농약 제조업,
동성제약,002210,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
동성케미컬,102260,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,합성수지 및 기타 플라스틱 물질 제조업
동아에스티,170900,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
동양,001520,유가증권시장,제조업,비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업","콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업",레미콘 제조업
동양철관,008970,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,철강관 제조업,
동원F&B,049770,유가증권시장,제조업,식료품 제조업,기타 식품 제조업,,
동원금속,018500,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
동원시스템즈,014820,유가증권시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,,
동인기연,111380,유가증권시장,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업",,
동일고무벨트,163560,유가증권시장,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,기타 고무제품 제조업,
동일산업,004890,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업",합금철 제조업
동일제강,002690,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",냉간 압연 및 압출 제품 제조업
동화약품,000020,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
두산로보틱스,454910,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,산업용 로봇 제조업,
두산밥캣,241560,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,건설 및 광업용 기계장비 제조업,건설 및 채광용 기계장비 제조업
두산에너빌리티,034020,유가증권시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,기타 기관 및 터빈 제조업
두산퓨얼셀,336260,유가증권시장,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",전동기 및 발전기 제조업
두올,016740,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
드림텍,192650,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
디씨엠,024090,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,
디아이,003160,유가증권시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업","전자기 측정, 시험 및 분석기구 제조업"
디아이씨,092200,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
디와이덕양,024900,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
디와이파워,210540,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,건설 및 광업용 기계장비 제조업,건설 및 채광용 기계장비 제조업
롯데에너지머티리얼즈,020150,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
롯데웰푸드,280360,유가증권시장,제조업,식료품 제조업,기타 식품 제조업,,
롯데정밀화학,004000,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,기타 기초 유기 화학물질 제조업
롯데칠성음료,005300,유가증권시장,제조업,음료 제조업,비알코올음료 및 얼음 제조업,비알코올 음료 및 얼음 제조업,기타 비알코올 음료 제조업
롯데케미칼,011170,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
마니커,027740,유가증권시장,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,
만호제강,001080,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",철강선 제조업
메타랩스,090370,유가증권시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,,
명문제약,017180,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
명신산업,009900,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
모나리자,012690,유가증권시장,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,위생용 종이제품 제조업
모토닉,009680,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
무림P&P,009580,유가증권시장,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",,
무림페이퍼,009200,유가증권시장,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",,
무학,033920,유가증권시장,제조업,음료 제조업,알코올음료 제조업,증류주 및 합성주 제조업,소주 제조업
문배철강,008420,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,
미래산업,025560,유가증권시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
미원상사,002840,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
미원에스씨,268280,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
미원화학,134380,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",계면활성제 제조업
미창석유공업,003650,유가증권시장,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제물 재처리업,윤활유 및 그리스 제조업
바이오노트,377740,유가증권시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
방림,003610,유가증권시장,제조업,섬유제품 제조업; 의복제외,직물직조 및 직물제품 제조업,,
백산,035150,유가증권시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,1차 플라스틱제품 제조업,플라스틱 합성피혁 제조업
벽산,007210,유가증권시장,제조업,비금속 광물제품 제조업,기타 비금속 광물제품 제조업,그 외 기타 비금속 광물제품 제조업,그 외 기타 분류 안된 비금속 광물제품 제조업
