corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
동양에스텍,060380,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",열간 압연 및 압출 제품 제조업
동양이엔피,079960,코스닥시장,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",
동양파일,228340,코스닥시장,제조업,비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업","콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
동우팜투테이블,088910,코스닥시장,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업
동운아나텍,094170,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,
동일금속,109860,코스닥시장,제조업,1차 금속 제조업,금속 주조업,철강 주조업,강주물 주조업
동일기연,032960,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
동일스틸럭스,023790,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",열간 압연 및 압출 제품 제조업
동진쎄미켐,005290,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업
동화기업,025900,코스닥시장,제조업,목재 및 나무제품 제조업; 가구 제외,나무제품 제조업,"박판, 합판 및 강화 목제품 제조업",강화 및 재생 목재 제조업
듀오백,073190,코스닥시장,제조업,가구 제조업,가구 제조업,기타 가구 제조업,금속 가구 제조업
듀켐바이오,176750,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
디바이스,187870,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
디아이티,110990,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업
디알젬,263690,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,방사선 장치 및 전기식 진단 기기 제조업,방사선 장치 제조업
디알텍,214680,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,,
디에스케이,109740,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업
디에이테크놀로지,196490,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
